SeqGeral	plot_name	Epoca	Acession_name	bloco	plant_number	Obs	Ramificacao	DataR0	Dia	Mes	Mesfev	Ano	NumRam	CompR	Altura total	QuantR	EscalaLEO	NumFrutosR0	NumSemR0	DAPR	DAPR1ano	DAPR1ano_Ext	NumEvRam	NumTFruto	NumTSem
34	BGM-1760.1.1.4	1	BGM-1760	1	4	Ok	Ram0	5/27/2021	27	5	mai	2021	2	165	NA	NA	1	NA	NA	251	251	251	3	0	0
35	BGM-1760.1.1.5	1	BGM-1760	1	5	Ok	Ram0	3/18/2021	18	3	mar	2021	4	130	NA	NA	0	0	NA	181	181	181	5	0	0
36	BGM-0598.1.1.1	1	BGM-0598	1	1	Ok	Ram0	11/27/2020	27	11	nov	2020	3	45	NA	NA	0	0	NA	70	70	70	5	1	0
37	BGM-0598.1.1.2	1	BGM-0598	1	2	Ok	Ram0	4/16/2021	16	4	abr	2021	1	135	213	NA	0	0	NA	210	210	210	2	0	0
38	BGM-0598.1.1.3	1	BGM-0598	1	3	Ok	Ram0	5/3/2021	3	5	mai	2021	0	85	86	NA	0	0	NA	227	227	227	1	0	0
39	BGM-0598.1.1.4	1	BGM-0598	1	4	Ok	Ram0	4/16/2021	16	4	abr	2021	0	135	135	NA	0	0	NA	210	210	210	1	0	0
40	BGM-0598.1.1.5	1	BGM-0598	1	5	Ok	Ram0	4/16/2021	16	4	abr	2021	1	145	214	NA	0	0	NA	210	210	210	2	0	0
41	BGM-0630.1.1.1	1	BGM-0630	1	1	Ok	Ram0	7/9/2021	9	7	jul	2021	0	NA	NA	NA	0	0	NA	294	294	294	2	0	0
42	BGM-0630.1.1.2	1	BGM-0630	1	2	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
43	BGM-0630.1.1.3	1	BGM-0630	1	3	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
44	BGM-0630.1.1.4	1	BGM-0630	1	4	Ok	Ram0	4/6/2021	6	4	abr	2021	2	185	NA	NA	0	0	NA	200	200	200	3	0	0
45	BGM-0630.1.1.5	1	BGM-0630	1	5	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
46	BGM-0593.1.1.1	1	BGM-0593	1	1	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
47	BGM-0593.1.1.2	1	BGM-0593	1	2	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
48	BGM-0593.1.1.3	1	BGM-0593	1	3	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
49	BGM-0593.1.1.4	1	BGM-0593	1	4	Ok	Ram0	9/29/2021	29	9	set	2021	NA	NA	NA	NA	0	NA	NA	376	376	376	1	0	0
50	BGM-0593.1.1.5	1	BGM-0593	1	5	Ok	Ram0	9/29/2021	29	9	set	2021	NA	NA	NA	NA	0	NA	NA	376	376	376	1	0	0
51	BRS-Caipira.1.1.1	1	BRS-Caipira	1	1	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
52	BRS-Caipira.1.1.2	1	BRS-Caipira	1	2	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
53	BRS-Caipira.1.1.3	1	BRS-Caipira	1	3	Ok	Ram0	5/27/2021	27	5	mai	2021	1	200	NA	NA	0	0	NA	251	251	251	2	0	0
54	BRS-Caipira.1.1.4	1	BRS-Caipira	1	4	Ok	Ram0	4/6/2021	6	4	abr	2021	2	145	NA	NA	0	0	NA	200	200	200	4	0	0
55	BRS-Caipira.1.1.5	1	BRS-Caipira	1	5	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
56	BGM-0945.1.1.1	1	BGM-0945	1	1	Remover	Ram0	1/23/2021	23	1	jan	2021	4	110	304	NA	0	0	NA	127	127	127	5	0	0
57	BGM-0945.1.1.2	1	BGM-0945	1	2	Remover	Ram0	1/23/2021	23	1	jan	2021	4	40	94	NA	0	0	NA	127	127	127	5	0	0
58	BGM-0945.1.1.3	1	BGM-0945	1	3	Remover	Ram0	12/22/2020	22	12	dez	2020	2	55	161	NA	0	0	NA	95	95	95	3	0	0
59	BGM-0945.1.1.4	1	BGM-0945	1	4	Remover	Ram0	3/18/2021	18	3	mar	2021	3	170	275	NA	0	0	NA	181	181	181	4	0	0
60	BGM-0945.1.1.5	1	BGM-0945	1	5	Remover	Ram0	11/27/2020	27	11	nov	2020	2	65	160	NA	1	NA	NA	70	70	70	3	0	0
61	BGM-1128.1.1.1	1	BGM-1128	1	1	Ok	Ram0	12/22/2020	22	12	dez	2020	4	45	NA	NA	1	NA	NA	95	95	95	5	0	0
